event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000138942	0.28,-0.07,-0.03,-0.18	0.28	1.24
gene:ENSG00000099904	-0.22,0.01,0.25,-0.04	0.25	1.23
gene:ENSG00000169635	-0.24,0.05,0.19	0.24	1.23
gene:ENSG00000100271	-0.07,0.28,-0.14,-0.06	0.28	1.22
gene:ENSG00000099901	-0.03,-0.00,-0.01,-0.06,0.14,-0.01,0.00,-0.03,-0.00,-0.01	0.14	1.2
gene:ENSG00000177989	0.28,-0.13,-0.08,-0.00,0.02,-0.08	0.28	1.19
gene:ENSG00000100211	-0.05,-0.16,0.27,-0.04,-0.02	0.27	1.18
gene:ENSG00000189306	0.18	0.18	1.17
gene:ENSG00000188130	0.26,-0.06,-0.12,-0.09	0.26	1.16
gene:ENSG00000205643	0.20,0.03,-0.17,-0.06	0.2	1.16
gene:ENSG00000128335	0.07,0.14,-0.20,-0.00,-0.01	0.2	1.13
gene:ENSG00000100364	-0.06,0.02,0.03,-0.08,-0.01,0.03,-0.01,-0.00,0.08,-0.00	0.08	1.12
gene:ENSG00000215193	0.06,-0.06,-0.05,-0.01,0.04	0.06	1.12
gene:ENSG00000198792	0.28,0.02,-0.09,-0.06,-0.08,-0.06	0.28	1.09
gene:ENSG00000213923	0.20,-0.01,0.01,-0.02,-0.07,0.07,0.01,-0.07,-0.06,-0.05,-0.01	0.2	1.09
gene:ENSG00000205593	-0.22	0.22	1.08
gene:ENSG00000128394	0.23	0.23	1.06
gene:ENSG00000100299	-0.13,0.09,0.21,-0.01,-0.15,-0.01	0.21	1.04
gene:ENSG00000196576	-0.01,-0.19,0.21,0.01,-0.02,0.01,0.02,-0.01,-0.01	0.21	1.02
gene:ENSG00000100209	-0.17,0.02,-0.03,0.18	0.18	0.97
gene:ENSG00000186951	-0.13,0.05,0.12,0.11,-0.20,0.05	0.2	0.97
gene:ENSG00000128311	0.10,-0.01,-0.10,0.01	0.1	0.96
gene:ENSG00000186976	0.24,-0.02,-0.23	0.24	0.94
gene:ENSG00000100344	0.02,0.02,-0.04	0.04	0.93
gene:ENSG00000128346	0.19,-0.07,-0.03,-0.03,-0.05,-0.01	0.19	0.92
gene:ENSG00000099977	0.09,-0.19,0.05,0.01,0.04	0.19	0.87
gene:ENSG00000100281	-0.03,0.01,-0.15,0.18	0.18	0.87
gene:ENSG00000099889	-0.17,0.13,-0.04,0.08	0.17	0.86
gene:ENSG00000100401	0.04,-0.14,0.02,0.02,0.02,0.04,0.00	0.14	0.85
gene:ENSG00000167074	0.03,0.01,-0.04	0.04	0.84
gene:ENSG00000093000	0.01,0.11,-0.02,-0.00,0.00,0.01,-0.00,-0.16,0.01,0.03,0.00	0.16	0.79
gene:ENSG00000128274	0.02,-0.03,0.02,-0.01	0.03	0.79
gene:ENSG00000100138	-0.09,0.17,0.02,0.08,-0.01,-0.03,-0.01,-0.11,-0.00,-0.02,-0.00	0.17	0.78
gene:ENSG00000185252	0.02,0.18,-0.12,-0.14,0.00,0.06,-0.00	0.18	0.78
gene:ENSG00000248405	-0.09,0.16,-0.07	0.16	0.78
gene:ENSG00000273899	-0.02,0.06,-0.04	0.06	0.78
gene:ENSG00000099956	0.14,-0.01,-0.04,-0.01,-0.01,-0.01,-0.02,-0.03,-0.00,0.03,-0.03,-0.01	0.14	0.77
gene:ENSG00000100029	0.16,-0.00,-0.08,-0.00,0.01,0.03,-0.12	0.16	0.76
gene:ENSG00000243156	0.03,0.00,0.02,-0.01,-0.03,-0.00,-0.03,0.01,0.02,-0.08,0.04,0.02,0.01	0.08	0.75
gene:ENSG00000183569	0.00,0.04,-0.00,0.01,-0.04,0.03,-0.04	0.04	0.74
gene:ENSG00000100023	-0.04,0.11,-0.13,-0.06,0.16,-0.04	0.16	0.72
gene:ENSG00000100350	0.16,-0.11,0.02,-0.07	0.16	0.72
gene:ENSG00000100395	-0.14,-0.00,0.04,0.11,-0.00	0.14	0.72
gene:ENSG00000242259	0.10,0.01,0.00,-0.07,0.01,-0.06	0.1	0.69
gene:ENSG00000099991	0.01,0.08,-0.04,0.04,-0.02,-0.08,0.02	0.08	0.68
gene:ENSG00000182541	-0.10,-0.13,0.13,0.09,0.01	0.13	0.68
gene:ENSG00000184708	0.03,0.05,-0.15,0.01,-0.00,-0.03,0.04,0.02,0.03	0.15	0.68
gene:ENSG00000205560	-0.04,-0.07,0.01,0.12,0.04,-0.02,-0.03	0.12	0.68
gene:ENSG00000244509	-0.15	0.15	0.67
gene:ENSG00000099917	0.01,-0.00,0.02,-0.02,0.03,-0.10,-0.01,-0.03,0.02,0.01,0.00,0.03,0.02,0.01,0.01,-0.01,0.00,0.00	0.1	0.66
gene:ENSG00000100263	0.04,-0.07,0.06,-0.03	0.07	0.65
gene:ENSG00000161179	-0.06,0.05,0.02	0.06	0.65
gene:ENSG00000128165	0.17	0.17	0.64
gene:ENSG00000100038	-0.00,-0.04,-0.07,0.08,0.00,-0.03,0.14,-0.00,-0.03,-0.02,-0.02,-0.02,0.01,-0.00	0.14	0.63
gene:ENSG00000100116	-0.11,0.15,0.03,-0.02,-0.04	0.15	0.63
gene:ENSG00000100124	0.14,-0.03,-0.08,-0.03,-0.01,0.02,0.03,-0.03,-0.01	0.14	0.63
gene:ENSG00000100266	-0.01,-0.13,0.06,-0.08,0.05,0.04,0.00,0.03,0.01,0.01,0.01	0.13	0.63
gene:ENSG00000187860	0.05,0.01,0.02,-0.07,-0.01	0.07	0.63
gene:ENSG00000198951	-0.09,0.08,0.01	0.09	0.62
gene:ENSG00000099992	-0.03,-0.04,0.04,0.08,-0.04,-0.01	0.08	0.61
gene:ENSG00000183172	0.13	0.13	0.61
gene:ENSG00000093009	0.03,0.02,0.03,0.07,0.00,-0.12,-0.03	0.12	0.6
gene:ENSG00000100151	-0.01,-0.03,0.02,0.11,0.06,-0.15,0.01,-0.01	0.15	0.6
