event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000025770	0.13,-0.04,-0.07,-0.12,-0.04,0.01,0.11,0.01	0.13	0.78
gene:ENSG00000167074	0.02,0.09,-0.11	0.11	0.78
gene:ENSG00000177663	-0.06	0.06	0.77
gene:ENSG00000184076	-0.10	0.1	0.76
gene:ENSG00000100294	-0.18,0.18,0.00	0.18	0.75
gene:ENSG00000182858	-0.00,-0.16,0.16	0.16	0.75
gene:ENSG00000054611	0.14,0.11,0.00,-0.06,-0.00,-0.08,0.04,-0.16	0.16	0.74
gene:ENSG00000100330	0.01,0.07,-0.06,0.05,-0.02,-0.05	0.07	0.74
gene:ENSG00000180957	0.18,-0.01,-0.11,-0.02,-0.01,-0.02	0.18	0.74
gene:ENSG00000093010	0.04,0.01,-0.04,0.00,0.11,0.03,-0.18,0.03,0.00	0.18	0.73
gene:ENSG00000183762	0.03,-0.00,0.13,-0.17	0.17	0.73
gene:ENSG00000184949	0.14,0.06,-0.20	0.2	0.73
gene:ENSG00000128165	0.20	0.2	0.72
gene:ENSG00000128274	-0.01,-0.07,-0.05,0.12	0.12	0.72
gene:ENSG00000185022	0.20,-0.12,-0.07,-0.03,0.00,0.06,-0.04	0.2	0.72
gene:ENSG00000243156	-0.09,0.08,-0.01,0.00,0.01,0.01,-0.08,-0.03,0.00,0.08,0.02,-0.00,0.00	0.09	0.72
gene:ENSG00000025708	-0.01,-0.06,-0.09,0.12,0.05	0.12	0.71
gene:ENSG00000099992	-0.14,0.03,0.12,0.05,-0.02,-0.05	0.14	0.71
gene:ENSG00000070010	0.13,-0.13,0.01,-0.00,0.00,-0.00	0.13	0.7
gene:ENSG00000099917	0.01,0.00,-0.00,0.01,0.00,-0.14,0.00,0.06,0.01,-0.00,0.03,0.01,0.01,-0.02,0.02,-0.00,0.00,-0.00	0.14	0.7
gene:ENSG00000186976	0.03,-0.09,0.06	0.09	0.7
gene:ENSG00000215012	-0.11,0.13,0.13,-0.15	0.15	0.7
gene:ENSG00000099889	0.01,-0.07,-0.02,0.09	0.09	0.69
gene:ENSG00000099949	0.01,-0.04,-0.20,0.03,0.03,-0.03,0.02,0.05,0.01,0.01,0.08,0.03	0.2	0.69
gene:ENSG00000099991	-0.05,0.17,-0.04,-0.09,0.11,-0.10,0.01	0.17	0.69
gene:ENSG00000205560	0.02,0.11,0.00,-0.15,-0.07,0.07,0.01	0.15	0.69
gene:ENSG00000100281	0.01,-0.09,0.03,0.05	0.09	0.67
gene:ENSG00000099999	-0.02,-0.00,-0.01,-0.02,0.02,-0.13,0.16,-0.00	0.16	0.66
gene:ENSG00000100299	0.00,0.10,0.08,-0.06,-0.04,-0.09	0.1	0.65
gene:ENSG00000196576	-0.00,-0.14,0.11,0.01,0.01,0.02,-0.01,-0.00,0.01	0.14	0.65
gene:ENSG00000100280	0.18,-0.01,-0.07,-0.03,-0.05,-0.03,-0.00,0.01	0.18	0.64
gene:ENSG00000183579	0.01,-0.08,0.08	0.08	0.64
gene:ENSG00000172346	0.00	0	0.63
gene:ENSG00000188677	0.06,0.02,0.03,0.04,-0.14	0.14	0.63
gene:ENSG00000241878	-0.03,-0.15,0.02,0.00,0.12,-0.02,0.02,0.02,0.01,0.01	0.15	0.63
gene:ENSG00000100151	0.02,-0.07,-0.04,0.01,-0.07,0.14,0.04,-0.02	0.14	0.62
gene:ENSG00000100350	0.13,0.03,-0.15,-0.02	0.15	0.62
gene:ENSG00000138942	-0.01,-0.07,0.05,0.03	0.07	0.61
gene:ENSG00000100379	-0.09,-0.02,0.14,-0.15,0.09,0.04	0.15	0.6
gene:ENSG00000159496	-0.00,-0.11,0.08,0.04,0.03,-0.02,-0.01	0.11	0.6
gene:ENSG00000239282	-0.04,0.01,-0.03,0.02,0.02,0.02,0.00	0.04	0.58
gene:ENSG00000100376	-0.01,0.14,-0.03,-0.11,-0.00,0.01	0.14	0.57
gene:ENSG00000128335	-0.10,0.09,-0.03,-0.02,0.05	0.1	0.57
gene:ENSG00000183569	-0.04,0.08,-0.03,-0.06,0.08,0.01,-0.04	0.08	0.57
gene:ENSG00000093000	-0.06,0.04,0.02,0.08,0.00,0.01,-0.01,-0.11,0.00,0.03,0.01	0.11	0.56
gene:ENSG00000070371	-0.02,-0.03,0.09,-0.01,0.07,-0.01,-0.05,-0.03	0.09	0.55
gene:ENSG00000100162	-0.15,-0.02,0.00,0.11,0.00,0.06	0.15	0.55
gene:ENSG00000133422	0.11,0.02,-0.00,-0.13	0.13	0.55
gene:ENSG00000100105	0.09,-0.13,0.13,-0.09	0.13	0.54
gene:ENSG00000185838	0.00,0.05,-0.06,0.01	0.06	0.54
gene:ENSG00000198951	-0.04,-0.01,0.05	0.05	0.52
gene:ENSG00000235568	0.00	0	0.52
gene:ENSG00000248751	0.05,-0.07,0.09,0.00,-0.08	0.09	0.52
gene:ENSG00000100226	-0.11,0.00,0.03,0.01,0.05,-0.01,0.03,0.00,-0.00	0.11	0.51
gene:ENSG00000100100	0.02,0.00,-0.00,-0.02	0.02	0.5
gene:ENSG00000128245	-0.05,0.03,0.04,-0.02	0.05	0.5
gene:ENSG00000133460	0.06,-0.05,-0.00,0.01,0.07,-0.09,-0.02,-0.02,0.07,-0.02,-0.01	0.09	0.5
gene:ENSG00000196588	0.09,-0.04,0.01,0.02,0.09,-0.05,-0.01,-0.12,-0.03,0.02	0.12	0.5
gene:ENSG00000099968	-0.03,0.01,0.01,-0.00,0.02,0.02,-0.01,-0.01,-0.14,0.09,-0.04,0.03,0.04	0.14	0.49
gene:ENSG00000100023	-0.07,-0.02,0.02,0.02,0.07,-0.02	0.07	0.49
gene:ENSG00000100147	-0.05	0.05	0.49
gene:ENSG00000100154	0.02,-0.04,-0.06,0.08	0.08	0.49
gene:ENSG00000241484	0.10,-0.08,-0.01,0.00,0.07,-0.03,-0.06	0.1	0.49
gene:ENSG00000241973	0.07,0.04,-0.11	0.11	0.49
gene:ENSG00000128191	-0.05,0.06,-0.01,0.00	0.06	0.48
gene:ENSG00000100056	-0.11	0.11	0.47
gene:ENSG00000100360	-0.03,0.11,-0.06,-0.06,0.02,0.02	0.11	0.47
gene:ENSG00000184470	-0.00,-0.01,0.04,0.00,-0.03,0.01,-0.02,-0.11,0.01,0.00,0.03,0.06,0.01	0.11	0.47
gene:ENSG00000100092	0.01,0.00,-0.09,0.02,0.06	0.09	0.46
gene:ENSG00000100300	-0.10,0.10,-0.01,-0.03,0.04	0.1	0.46
gene:ENSG00000100316	0.01,0.01,-0.01,0.00,-0.02,0.01	0.02	0.46
gene:ENSG00000185386	0.05,0.03,-0.09	0.09	0.46
gene:ENSG00000100034	-0.09,-0.00,0.08,-0.03,0.03	0.09	0.45
gene:ENSG00000100196	0.12	0.12	0.44
gene:ENSG00000128342	-0.02	0.02	0.44
gene:ENSG00000186654	-0.04,0.04,-0.02,-0.06,-0.09,-0.03,0.09,0.04,0.02,0.01,0.03	0.09	0.44
gene:ENSG00000100354	0.09,-0.01,-0.11,0.07,-0.01,-0.04	0.11	0.43
gene:ENSG00000182944	0.01,0.00,0.01,0.03,0.00,0.00,0.11,-0.07,-0.00,-0.03,-0.01,-0.02,-0.04,0.02,-0.00	0.11	0.43
gene:ENSG00000186575	0.04,-0.11,0.00,0.04,-0.01,-0.00,-0.00,0.01,0.06,-0.05,0.01	0.11	0.43
gene:ENSG00000196236	-0.06,-0.02,0.08	0.08	0.43
gene:ENSG00000100116	-0.01,0.08,-0.01,-0.01,-0.05	0.08	0.42
gene:ENSG00000128185	0.11,-0.05,-0.06	0.11	0.41
gene:ENSG00000183172	0.10	0.1	0.41
gene:ENSG00000183597	-0.03,0.00,0.06,0.04,-0.04,-0.09,0.02,0.01,-0.01,0.01,-0.01,0.02,-0.02,0.02,0.03,0.01	0.09	0.41
gene:ENSG00000099910	-0.00,-0.02,-0.02,0.06,-0.01,0.00,-0.01	0.06	0.4
gene:ENSG00000099995	0.10,-0.09,-0.02,0.01	0.1	0.4
gene:ENSG00000100225	-0.08,0.04,0.02,-0.00,0.03,-0.00	0.08	0.4
gene:ENSG00000100242	0.07,0.06,-0.01,-0.03,-0.05,0.03,-0.01,-0.01,-0.02,-0.02,-0.00,-0.01	0.07	0.38
gene:ENSG00000100284	0.03,0.00,-0.00,0.03,0.02,-0.08,0.02,-0.01,0.01,-0.00,-0.04,0.03,-0.01,-0.00	0.08	0.38
gene:ENSG00000100413	0.00,-0.07,0.03,0.01,0.04,-0.02,0.01	0.07	0.38
gene:ENSG00000182541	-0.01,-0.10,0.07,0.06,-0.02	0.1	0.38
gene:ENSG00000100416	-0.05,-0.03,-0.06,-0.06,-0.02,0.01,0.04,-0.03,0.02,0.04,0.08,0.05,0.01	0.08	0.37
gene:ENSG00000100124	-0.03,0.01,-0.05,0.01,-0.00,0.00,0.05,-0.01,0.02	0.05	0.35
gene:ENSG00000100209	-0.03,-0.02,0.05,0.00	0.05	0.35
gene:ENSG00000100393	0.04,-0.01,-0.03	0.04	0.35
gene:ENSG00000242259	0.02,0.04,0.03,-0.06,0.00,-0.04	0.06	0.34
gene:ENSG00000100106	0.01,0.00,-0.01,-0.01,-0.04,0.04,0.08,-0.05,-0.02,-0.02,0.03	0.08	0.33
gene:ENSG00000100324	0.07	0.07	0.33
gene:ENSG00000131100	-0.07,0.01,0.08,-0.01	0.08	0.33
gene:ENSG00000241360	0.04	0.04	0.33
gene:ENSG00000242247	-0.08,0.03,0.04,-0.01,0.01	0.08	0.33
gene:ENSG00000128394	-0.03	0.03	0.32
gene:ENSG00000099956	-0.05,-0.01,-0.01,-0.00,0.00,0.00,-0.02,0.07,-0.00,0.06,-0.03,-0.01	0.07	0.31
gene:ENSG00000183530	0.00,-0.04,-0.00,0.02,0.02	0.04	0.31
gene:ENSG00000183765	-0.00,0.00,-0.06,-0.02,0.04,-0.03,0.00,0.01,-0.03,-0.00,0.01,0.02,0.02,0.00,-0.01,0.00,-0.01,0.00,-0.05,0.01,0.04,0.02,0.02,0.01,-0.00	0.06	0.31
gene:ENSG00000100031	-0.10,0.02,0.01,-0.01,0.04,0.00,-0.02,0.02,-0.01,0.02,-0.03,0.01,0.02,0.00,-0.02,0.03,0.03,0.01,0.00,0.01,-0.02,0.01,0.00	0.1	0.29
gene:ENSG00000130638	0.03,0.03,-0.01,-0.07,0.02	0.07	0.29
gene:ENSG00000100353	-0.04,-0.00,0.06,-0.01,-0.02,0.01,-0.00	0.06	0.28
gene:ENSG00000128383	0.01,0.01,-0.02	0.02	0.28
gene:ENSG00000183864	0.08	0.08	0.28
gene:ENSG00000184792	0.01,-0.00,0.01,0.04,-0.01,-0.00,-0.03,-0.01,0.03,-0.03,0.01,-0.01,0.02,-0.02,-0.00	0.04	0.28
gene:ENSG00000100297	-0.01,0.01,-0.06,0.05,0.02	0.06	0.26
gene:ENSG00000239900	0.00,0.02,-0.01,0.03,-0.00,0.01,0.01,-0.04,-0.02,-0.00,-0.00,0.00,0.00,-0.01,0.01,0.01,0.00	0.04	0.26
gene:ENSG00000100129	0.00,0.00,0.02,-0.02,0.02,-0.01,-0.00,-0.01,-0.00	0.02	0.25
gene:ENSG00000100401	0.03,-0.04,0.01,-0.04,-0.00,0.03,0.00	0.04	0.25
gene:ENSG00000184983	-0.01,0.04,-0.03	0.04	0.25
gene:ENSG00000100077	0.02,-0.05,0.03	0.05	0.24
gene:ENSG00000100221	-0.03,-0.03,0.02,0.02,0.00,0.03	0.03	0.24
gene:ENSG00000100304	0.04	0.04	0.24
gene:ENSG00000099901	-0.01,0.01,-0.01,0.02,-0.05,0.01,0.01,0.00,0.01,-0.00	0.05	0.23
gene:ENSG00000100345	-0.06,0.06,-0.00	0.06	0.23
gene:ENSG00000244509	-0.03	0.03	0.23
gene:ENSG00000100422	0.06	0.06	0.22
gene:ENSG00000130489	0.02	0.02	0.22
gene:ENSG00000185651	0.06,-0.06,0.00	0.06	0.22
gene:ENSG00000100201	0.02,0.03,-0.04,0.00,-0.01	0.04	0.19
gene:ENSG00000187051	-0.04	0.04	0.19
gene:ENSG00000100292	-0.06	0.06	0.18
gene:ENSG00000198911	-0.01,0.04,-0.03,0.00	0.04	0.16
gene:ENSG00000184117	-0.00,0.02,-0.02,-0.00	0.02	0.14
gene:ENSG00000100417	-0.03	0.03	0.13
gene:ENSG00000100412	-0.03	0.03	0.12
gene:ENSG00000183741	-0.03	0.03	0.12
gene:ENSG00000099942	-0.01	0.01	0.1
gene:ENSG00000250479	-0.01,-0.01,0.02,0.01	0.02	0.09
gene:ENSG00000100150	0.01,-0.00,-0.00,-0.01,0.02,-0.01,0.00,0.01,-0.01,-0.00,-0.00,0.01,-0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.01,-0.00,0.00,0.00,-0.00,0.01,-0.02,-0.01,0.01,0.00,-0.01,-0.01,0.00,0.01,-0.00,-0.00,-0.01,-0.01,0.00,-0.01,-0.00	0.02	0.08
gene:ENSG00000100097	0.00,-0.00,-0.00	0	0
