event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000015475	-0.07,0.02,0.02,0.03,0.05,0.14,0.15,-0.00,-0.36,0.00,0.02	0.36	1e+12
gene:ENSG00000197077	0.26,0.49,-0.69,-0.05	0.69	1e+12
gene:ENSG00000128272	-0.00,-0.05,0.05	0.05	2286.42
gene:ENSG00000186716	0.29,-0.27,-0.02	0.29	1595.72
gene:ENSG00000205593	-0.41	0.41	72.9
gene:ENSG00000100038	-0.02,-0.04,0.11,0.03,-0.22,0.01,0.04,0.04,-0.00,0.00,-0.02,0.02,0.04,0.02	0.22	35.73
gene:ENSG00000189306	0.31	0.31	22.17
gene:ENSG00000186998	-0.44,0.05,0.10,0.12,0.10,0.06,0.02	0.44	20.11
gene:ENSG00000100239	0.02,0.23,0.02,-0.11,-0.04,-0.13,0.00	0.23	14.67
gene:ENSG00000100207	0.22,-0.24,-0.01,0.04	0.24	12.95
gene:ENSG00000188130	0.48,-0.06,-0.41,-0.01	0.48	11.41
gene:ENSG00000100380	-0.05,-0.03,0.09,-0.00,-0.01	0.09	10.74
gene:ENSG00000075240	0.07,0.28,-0.01,-0.43,0.07,0.02	0.43	10.71
gene:ENSG00000100003	-0.04,-0.04,0.06,-0.04,-0.02,-0.09,0.27,-0.06,-0.03	0.27	10.18
gene:ENSG00000100429	-0.04,-0.22,0.09,0.33,-0.09,-0.02,-0.05	0.33	6.55
gene:ENSG00000215193	-0.19,-0.07,0.24,-0.00,0.02	0.24	6.5
gene:ENSG00000070413	0.08,0.11,-0.24,0.04	0.24	5.67
gene:ENSG00000100083	-0.04,-0.01,0.00,-0.00,0.26,-0.01,0.01,-0.00,-0.01,-0.03,-0.19,-0.00,-0.01,0.02,0.01	0.26	5.32
gene:ENSG00000100320	0.24,-0.06,-0.04,-0.05,-0.05,-0.01,-0.01,-0.03,0.09,0.02,-0.08,-0.04	0.24	3.75
gene:ENSG00000242114	-0.29,0.03,0.24,0.10,-0.08	0.29	3.74
gene:ENSG00000100139	-0.25,0.28,-0.04,-0.00	0.28	3.47
gene:ENSG00000100028	0.12,0.01,-0.13,-0.00	0.13	3.43
gene:ENSG00000100246	-0.30	0.3	3.42
gene:ENSG00000128346	0.27,-0.06,-0.05,-0.05,-0.06,-0.05	0.27	3.06
gene:ENSG00000100142	0.07,-0.00,-0.09,-0.01,0.01,-0.04,-0.02,-0.01,0.05,0.05,-0.00,-0.01	0.09	2.99
gene:ENSG00000075234	0.07,0.07,-0.02,-0.00,0.03,-0.15	0.15	2.95
gene:ENSG00000100263	0.41,-0.36,-0.01,-0.04	0.41	2.84
gene:ENSG00000249590	0.08,0.15,-0.23	0.23	2.73
gene:ENSG00000185721	0.17,-0.01,-0.01,-0.15	0.17	2.7
gene:ENSG00000128294	0.12,0.04,-0.08,0.01,-0.03,-0.01,-0.02,-0.02,-0.02	0.12	2.66
gene:ENSG00000100030	0.12,-0.11,-0.01	0.12	2.59
gene:ENSG00000138867	0.03,0.06,-0.04,0.09,-0.13,-0.02,-0.00,0.01	0.13	2.51
gene:ENSG00000128271	0.06,-0.06,0.02,0.03,0.02,0.00,-0.29,0.02,0.07,0.06,0.04,0.03	0.29	2.49
gene:ENSG00000100109	-0.27,0.19,0.02,0.10,0.01,-0.00,-0.01,-0.03,0.00,-0.01	0.27	2.26
gene:ENSG00000179750	0.20,0.10,0.07,-0.37	0.37	2.24
gene:ENSG00000183963	-0.04,-0.02,-0.03,-0.02,-0.04,0.01,-0.03,0.32,-0.01,-0.03,-0.04,-0.02,-0.00,-0.02,-0.02,-0.01	0.32	2.2
gene:ENSG00000248405	0.33,-0.29,-0.04	0.33	2.2
gene:ENSG00000184164	0.01,-0.08,0.31,-0.10,-0.14	0.31	2.19
gene:ENSG00000079974	-0.04,-0.06,-0.01,-0.09,-0.05,0.00,0.27,-0.02,0.04,-0.01,-0.03	0.27	2.05
gene:ENSG00000100138	-0.07,0.19,0.00,0.11,-0.02,-0.01,-0.00,-0.20,-0.00,-0.00,-0.01	0.2	2.02
gene:ENSG00000100296	-0.06,0.25,0.01,0.00,-0.05,-0.16,0.00,0.00,-0.01,0.00,-0.01,0.01	0.25	1.96
gene:ENSG00000133424	0.00,-0.01,-0.00,0.23,-0.25,0.00,-0.02,0.01,-0.00,0.01,0.03,-0.00	0.25	1.93
gene:ENSG00000100425	-0.06,-0.10,0.34,-0.17,-0.02	0.34	1.92
gene:ENSG00000100325	0.22,0.02,-0.01,-0.28,-0.06,-0.01,0.16,-0.02,-0.00	0.28	1.86
gene:ENSG00000198089	0.03,0.02,-0.02,0.01,0.17,0.01,-0.26,0.05,0.02,-0.04,-0.01,-0.00	0.26	1.73
gene:ENSG00000100241	0.12,-0.09,-0.04	0.12	1.68
gene:ENSG00000100068	-0.38	0.38	1.65
gene:ENSG00000099904	-0.10,-0.07,0.28,-0.11	0.28	1.53
gene:ENSG00000100075	0.24	0.24	1.53
gene:ENSG00000100271	-0.10,0.33,-0.13,-0.10	0.33	1.53
gene:ENSG00000169635	-0.07,0.36,-0.29	0.36	1.49
gene:ENSG00000100258	0.23	0.23	1.39
gene:ENSG00000100335	0.01,0.17,-0.07,-0.09,0.01,-0.03	0.17	1.36
gene:ENSG00000100307	-0.28,0.25,0.03	0.28	1.34
gene:ENSG00000069998	0.15,-0.21,0.06	0.21	1.3
gene:ENSG00000073169	-0.34	0.34	1.29
gene:ENSG00000100348	0.01,-0.16,0.14,0.01	0.16	1.28
gene:ENSG00000128159	-0.24,0.20,0.03,0.01	0.24	1.28
gene:ENSG00000167065	0.02,0.02,-0.12,-0.00,0.01,0.15,-0.00,-0.06,-0.01	0.15	1.27
gene:ENSG00000100243	-0.03,0.21,-0.02,-0.11,-0.02,-0.04	0.21	1.26
gene:ENSG00000100036	0.20,-0.21,0.01	0.21	1.16
gene:ENSG00000100364	-0.03,-0.13,-0.11,0.26,0.00,0.02,0.01,-0.02,0.01,-0.02	0.26	1.16
gene:ENSG00000100029	0.16,-0.00,-0.10,-0.00,-0.00,-0.05,-0.01	0.16	1.15
gene:ENSG00000099977	0.10,-0.24,0.12,-0.00,0.02	0.24	1.13
gene:ENSG00000170638	0.00,-0.20,0.22,-0.03	0.22	1.12
gene:ENSG00000213923	0.18,-0.13,-0.01,-0.02,-0.01,0.01,0.02,-0.00,-0.03,0.00,-0.01	0.18	1.12
gene:ENSG00000100344	0.08,-0.25,0.16	0.25	1.11
gene:ENSG00000100266	-0.00,-0.21,0.14,-0.10,0.03,0.10,-0.05,0.04,0.03,0.04,-0.01	0.21	1.09
gene:ENSG00000186951	-0.01,-0.01,-0.10,-0.05,0.23,-0.06	0.23	1.06
gene:ENSG00000099940	-0.14	0.14	1.05
gene:ENSG00000198792	0.26,-0.07,-0.21,0.14,-0.05,-0.07	0.26	1.03
gene:ENSG00000205643	0.20,-0.24,-0.08,0.12	0.24	1.02
gene:ENSG00000196419	-0.09,-0.01,-0.00,0.01,0.16,-0.07	0.16	1
gene:ENSG00000273899	0.02,0.01,-0.04	0.04	1
gene:ENSG00000198832	-0.05,0.28,-0.23	0.28	0.98
gene:ENSG00000100211	-0.13,-0.08,0.20,-0.03,0.05	0.2	0.97
gene:ENSG00000161179	-0.19,0.21,-0.02	0.21	0.97
gene:ENSG00000100084	-0.17,0.21,-0.04	0.21	0.95
gene:ENSG00000128311	0.13,0.02,-0.08,-0.07	0.13	0.95
gene:ENSG00000184708	0.08,0.04,-0.21,0.07,0.02,0.00,0.02,-0.03,0.03	0.21	0.95
gene:ENSG00000099899	0.19,-0.17,0.06,-0.06,-0.09,0.06,-0.00	0.19	0.94
gene:ENSG00000100227	0.04,-0.20,0.16,0.08,-0.06,-0.01,-0.01	0.2	0.94
gene:ENSG00000284194	0.20,-0.15,-0.03,-0.02	0.2	0.94
gene:ENSG00000183628	-0.06,0.22,-0.12,0.03,-0.02,-0.05	0.22	0.93
gene:ENSG00000128309	-0.05,0.02,-0.00,0.19,-0.08,-0.04,-0.04	0.19	0.92
gene:ENSG00000159873	-0.20,0.16,0.07,0.03,-0.01,-0.04	0.2	0.88
gene:ENSG00000100372	0.08,-0.18,0.03,0.02,0.01,-0.01,-0.01,0.05,0.01,0.01,-0.00,-0.02,0.01,-0.01,0.00	0.18	0.87
gene:ENSG00000187860	-0.14,-0.05,0.08,0.08,0.03	0.14	0.87
gene:ENSG00000100014	0.16,-0.02,-0.16,0.04,-0.01	0.16	0.86
gene:ENSG00000100027	-0.18	0.18	0.86
gene:ENSG00000100395	-0.13,-0.01,0.12,0.05,-0.03	0.13	0.81
gene:ENSG00000185252	0.04,0.13,-0.03,-0.02,-0.02,-0.06,-0.04	0.13	0.81
gene:ENSG00000100359	0.13,-0.10,-0.05,0.01	0.13	0.8
gene:ENSG00000184436	0.03	0.03	0.8
gene:ENSG00000093009	-0.01,0.02,-0.02,0.07,-0.07,-0.02,0.02	0.07	0.79
gene:ENSG00000100099	0.07,0.00,0.02,-0.01,-0.01,-0.15,0.08	0.15	0.79
gene:ENSG00000100219	-0.16,-0.04,0.07,0.10,0.02	0.16	0.79
